 country_id_fk | id | code |           name           |               desc               |  id  | state_id_fk |              code               |            lga_name             
---------------+----+------+--------------------------+----------------------------------+------+-------------+---------------------------------+---------------------------------
            39 |  5 | BA   | Bauchi                   | Bauchi State                     |  865 |           5 | ALKALERI                        | Alkaleri
            39 |  5 | BA   | Bauchi                   | Bauchi State                     |  866 |           5 | BAUCHI                          | Bauchi
            39 |  5 | BA   | Bauchi                   | Bauchi State                     |  867 |           5 | BOGORO                          | Bogoro
            39 |  5 | BA   | Bauchi                   | Bauchi State                     |  868 |           5 | DAMBAM                          | Dambam
            39 |  5 | BA   | Bauchi                   | Bauchi State                     |  869 |           5 | DARAZO                          | Darazo
            39 |  5 | BA   | Bauchi                   | Bauchi State                     |  870 |           5 | DASS                            | Dass
            39 |  5 | BA   | Bauchi                   | Bauchi State                     |  871 |           5 | GAMAWA                          | Gamawa
            39 |  5 | BA   | Bauchi                   | Bauchi State                     |  872 |           5 | GANJUWA                         | Ganjuwa
            39 |  5 | BA   | Bauchi                   | Bauchi State                     |  873 |           5 | GIADE                           | Giade
            39 |  5 | BA   | Bauchi                   | Bauchi State                     |  874 |           5 | ITAS_GADAU                      | Itas/gadau
            39 |  5 | BA   | Bauchi                   | Bauchi State                     |  875 |           5 | JAMA'ARE                        | Jama'are
            39 |  5 | BA   | Bauchi                   | Bauchi State                     |  876 |           5 | KATAGUM                         | Katagum
            39 |  5 | BA   | Bauchi                   | Bauchi State                     |  877 |           5 | KIRFI                           | Kirfi
            39 |  5 | BA   | Bauchi                   | Bauchi State                     |  878 |           5 | MISAU                           | Misau
            39 |  5 | BA   | Bauchi                   | Bauchi State                     |  879 |           5 | NINGI                           | Ningi
            39 |  5 | BA   | Bauchi                   | Bauchi State                     |  880 |           5 | SHIRA                           | Shira
            39 |  5 | BA   | Bauchi                   | Bauchi State                     |  881 |           5 | TAFAWA_BALEWA                   | Tafawa balewa
            39 |  5 | BA   | Bauchi                   | Bauchi State                     |  882 |           5 | TORO                            | Toro
            39 |  5 | BA   | Bauchi                   | Bauchi State                     |  883 |           5 | WARJI                           | Warji
            39 | 12 | EK   | Ekiti                    | Ekiti State                      | 1029 |          12 | IREPODUN_IFELODUN               | Irepodun / ifelodun
            39 | 12 | EK   | Ekiti                    | Ekiti State                      | 1031 |          12 | MOBA                            | Moba
            39 | 12 | EK   | Ekiti                    | Ekiti State                      | 1032 |          12 | OYE                             | Oye
            39 | 13 | EN   | Enugu                    | Enugu State                      | 1033 |          13 | ANINRI                          | Aninri
            39 | 13 | EN   | Enugu                    | Enugu State                      | 1034 |          13 | AWGU                            | Awgu
            39 | 13 | EN   | Enugu                    | Enugu State                      | 1035 |          13 | ENUGU_EAST                      | Enugu east
            39 | 13 | EN   | Enugu                    | Enugu State                      | 1036 |          13 | ENUGU_NORTH                     | Enugu north
            39 | 13 | EN   | Enugu                    | Enugu State                      | 1037 |          13 | ENUGU_SOUTH                     | Enugu south
            39 | 13 | EN   | Enugu                    | Enugu State                      | 1038 |          13 | EZEAGU                          | Ezeagu
            39 | 13 | EN   | Enugu                    | Enugu State                      | 1039 |          13 | IGBO_ETITI                      | Igbo etiti
            39 | 13 | EN   | Enugu                    | Enugu State                      | 1040 |          13 | IGBO_EZE_NORTH                  | Igbo eze north
            39 | 13 | EN   | Enugu                    | Enugu State                      | 1041 |          13 | IGBO_EZE_SOUTH                  | Igbo eze south
            39 | 13 | EN   | Enugu                    | Enugu State                      | 1042 |          13 | ISI_UZO                         | Isi uzo
            39 | 13 | EN   | Enugu                    | Enugu State                      | 1043 |          13 | NKANU_EAST                      | Nkanu east
            39 | 13 | EN   | Enugu                    | Enugu State                      | 1044 |          13 | NKANU_WEST                      | Nkanu west
            39 | 13 | EN   | Enugu                    | Enugu State                      | 1045 |          13 | NSUKKA                          | Nsukka
            39 | 13 | EN   | Enugu                    | Enugu State                      | 1046 |          13 | OJI_RIVER                       | Oji-river
            39 | 13 | EN   | Enugu                    | Enugu State                      | 1047 |          13 | UDENU                           | Udenu
            39 | 13 | EN   | Enugu                    | Enugu State                      | 1048 |          13 | UDI                             | Udi
            39 | 13 | EN   | Enugu                    | Enugu State                      | 1049 |          13 | UZO_UWANI                       | Uzo-uwani
            39 | 36 | FC   | Federal Capital Teritory | Federal Capital Territory, Abuja | 1050 |          36 | ABAJI                           | Abaji
